item_id,regions,genres,languages,directors,year,mins,movie_douban_score,movie_douban_votes,type
253587,20,21,13,31,0,62,0,0,2
253588,9,24,4,32,0,0,0,0,2
253589,9,9,4,33,0,82,0,0,2
253590,9,25,4,34,0,84,0,0,2
253591,21,26,1,1,0,90,8,1,2
253592,6,4,0,35,0,17,0,0,2
253593,9,27,6,36,0,0,0,0,2
253594,22,4,14,37,0,8,0,0,2
253595,5,4,1,38,4,15,0,0,2
253596,23,9,1,1,4,83,1,3,2
253597,5,28,1,1,5,0,0,0,2
253598,24,29,1,39,0,23,0,0,2
253599,9,3,4,40,0,0,0,0,2
253600,25,3,0,41,4,5,0,0,2
253601,9,9,4,1,0,0,6,5,2
253602,26,9,1,1,0,50,0,0,2
253603,22,30,14,42,2,0,0,0,2
253604,5,0,0,1,11,0,0,0,2
253605,5,9,1,1,0,28,0,0,2
253606,27,31,0,1,2,0,0,0,2
253607,1,9,1,1,12,0,0,0,2
253608,6,3,15,43,0,19,0,0,2
253609,28,9,16,44,0,104,3,1,2
253610,9,32,4,45,0,74,9,5,2
253611,9,20,4,1,0,0,0,0,2
253612,29,33,17,1,0,0,10,2,2
253613,7,32,5,1,13,70,0,0,2
253614,6,0,4,46,0,112,0,0,2
253615,6,3,18,1,0,0,3,2,2
253616,1,9,1,1,0,0,0,0,2
253617,5,9,1,1,0,0,1,2,2
253618,9,21,4,47,0,95,0,0,2
253619,30,23,19,1,0,111,11,1,2
253620,3,22,2,48,0,0,12,2,2
253621,12,9,8,1,0,0,4,1,2
253622,31,0,20,49,0,82,13,1,2
253623,5,34,1,50,0,0,6,1,2
253624,9,20,4,1,0,0,0,0,2
253625,9,35,4,1,4,0,0,0,2
253626,3,0,2,51,0,0,1,1,2
253627,9,20,4,52,0,0,6,5,2
253628,5,1,1,53,0,95,8,1,2
253629,9,9,4,54,0,0,6,5,2
253630,9,21,4,55,0,0,6,6,2
253631,9,9,4,56,0,0,0,0,2
253632,9,20,4,1,0,0,8,4,2
253633,9,12,0,57,0,14,0,0,2
253634,5,5,1,1,0,62,14,1,2
253635,9,9,21,58,0,26,0,0,2
253636,32,0,0,1,14,71,0,0,2
253637,5,36,1,59,15,0,0,0,2
253638,12,9,8,1,0,50,10,5,2
253639,5,37,1,1,4,19,11,3,2
253640,5,9,1,60,0,123,11,2,2
253641,9,9,22,1,0,0,3,1,2
253642,5,4,1,1,0,1,0,0,2
253643,3,5,2,61,0,0,0,0,2
253644,9,9,4,62,0,0,3,2,2
253645,3,0,2,63,0,0,5,2,2
253646,9,21,4,64,0,0,0,0,2
253647,9,38,4,1,0,0,6,4,2
253648,3,39,2,1,0,0,6,6,2
253649,3,0,2,1,0,25,0,0,2
253650,5,9,1,1,0,0,3,2,2
253651,3,0,2,1,0,0,0,0,2
253652,5,40,1,1,0,40,0,0,2
253653,5,1,1,1,1,0,0,0,2
253654,9,9,4,65,0,148,0,0,2
253655,9,9,4,66,0,0,4,5,2
253656,9,0,4,67,8,0,0,0,2
253657,31,9,23,68,0,0,0,0,2
253658,9,9,4,1,0,0,0,0,2
253659,3,41,2,1,6,0,0,0,2
253660,33,41,5,1,16,8,0,0,2
253661,5,42,1,1,0,0,0,0,2
253662,5,9,1,1,0,113,14,2,2
253663,9,43,4,69,0,90,0,0,2
253664,5,21,1,70,0,0,0,0,2
253665,3,16,0,71,0,0,0,0,2
253666,5,44,1,72,0,0,3,1,2
253667,3,0,2,73,17,99,0,0,2
253668,9,45,4,1,0,0,11,5,2
253669,5,46,1,1,0,0,12,2,2
253670,5,5,1,1,0,0,0,0,2
253671,31,18,0,1,0,15,0,0,2
253672,5,9,0,1,0,0,3,3,2
253673,9,47,4,74,0,0,0,0,2
253674,34,8,0,1,4,7,0,0,2
253675,9,48,4,75,0,18,0,0,2
253676,25,5,1,1,0,69,1,3,2
253677,35,49,18,76,0,25,10,1,2
253678,9,50,4,1,0,31,0,0,2
253679,36,0,24,1,5,0,0,0,2
253680,5,9,1,1,0,0,4,5,2
253681,9,12,0,77,4,16,0,0,2
253682,5,51,0,1,0,0,0,0,2
253683,5,52,25,1,0,8,10,1,2
253684,3,0,2,78,0,0,0,0,2
253685,3,53,2,79,0,0,5,5,2
253686,5,9,26,80,0,79,14,4,2
253687,3,54,2,81,0,0,6,7,2
253688,9,55,4,82,0,0,0,0,2
253689,9,20,4,83,0,0,1,5,2
253690,5,0,1,1,0,60,0,0,2
253691,9,9,4,84,0,0,0,0,2
253692,9,20,4,85,0,0,0,0,2
253693,3,0,2,86,0,0,14,2,2
253694,3,53,2,87,0,0,3,5,2
253695,3,0,2,88,0,0,1,1,2
253696,9,9,8,89,1,40,0,0,2
253697,9,3,4,90,0,0,0,0,2
253698,9,56,0,91,0,0,0,0,2
253699,9,57,4,92,0,0,5,5,2
253700,5,16,1,93,0,0,0,0,2
253701,3,0,2,94,18,78,0,0,2
253702,37,9,1,95,0,0,3,2,2
253703,38,37,19,1,0,6,5,1,2
253704,39,58,1,1,0,0,0,0,2
253705,5,45,1,1,0,0,0,0,2
253706,22,59,14,1,0,0,14,3,2
253707,9,12,4,96,0,0,6,5,2
253708,5,20,1,1,0,0,1,2,2
253709,9,12,27,97,0,11,12,2,2
253710,9,12,4,98,0,24,14,2,2
253711,9,21,4,99,0,75,9,1,2
253712,9,20,4,1,0,0,5,2,2
253713,1,60,1,1,0,0,14,1,2
253714,10,59,1,1,0,0,14,1,2
253715,21,9,1,1,0,85,4,6,2
253716,5,9,1,100,0,0,14,1,2
253717,40,61,1,101,0,89,11,5,2
253718,3,0,2,102,0,0,11,1,2
253719,3,62,2,103,0,0,5,2,2
253720,9,4,0,104,4,20,0,0,2
253721,3,0,2,105,0,0,5,2,2
253722,5,63,1,106,0,7,0,0,2
253723,5,64,1,1,0,16,0,0,2
253724,9,19,4,1,0,0,10,5,2
253725,6,65,4,107,0,0,1,2,2
253726,41,28,28,1,0,0,0,0,2
253727,3,0,2,108,0,0,0,0,2
253728,12,37,8,1,0,20,12,2,2
253729,9,66,4,1,2,120,4,1,2
253730,9,19,4,1,19,0,0,0,2
253731,9,20,4,109,0,0,1,5,2
253732,12,67,8,1,4,0,0,0,2
253733,31,9,29,1,0,86,0,0,2
253734,42,4,30,1,4,16,0,0,2
253735,5,68,1,110,0,9,5,2,2
253736,9,0,4,1,0,0,10,2,2
253737,31,9,0,1,0,0,0,0,2
253738,9,45,4,111,0,0,0,0,2
253739,9,9,4,1,5,40,3,5,2
253740,9,69,4,112,0,15,0,0,2
253741,1,9,1,1,0,67,0,0,2
253742,1,9,1,113,0,0,0,0,2
253743,5,63,1,1,0,44,3,1,2
253744,6,12,4,114,0,29,0,0,2
253745,1,18,31,115,4,24,0,0,2
253746,43,18,32,1,4,14,0,0,2
253747,9,9,0,116,0,71,0,0,2
253748,6,4,0,117,0,37,0,0,2
253749,9,12,4,118,0,15,12,4,2
253750,9,9,4,119,0,0,10,5,2
253751,5,0,0,1,0,0,0,0,2
253752,9,20,4,1,0,152,15,6,2
253753,9,9,4,120,0,73,6,6,2
253754,9,45,4,121,0,90,4,2,2
253755,9,38,4,122,0,0,0,0,2
253756,9,0,4,123,1,0,0,0,2
253757,9,0,4,123,0,0,0,0,2
253758,9,19,4,1,0,0,10,5,2
253759,3,21,2,124,0,0,11,3,2
253760,1,70,1,125,0,83,4,4,2
253761,9,9,4,126,0,0,3,5,2
253762,3,39,2,127,0,0,1,5,2
253763,9,71,4,128,0,100,0,0,2
253764,44,4,0,129,0,4,0,0,2
253765,9,16,4,130,0,0,0,0,2
253766,9,9,4,131,0,68,5,5,2
253767,6,35,4,1,15,104,0,0,2
253768,3,0,2,132,0,0,5,1,2
253769,5,12,22,133,0,29,0,0,2
253770,9,4,33,134,0,36,0,0,2
253771,5,9,1,1,0,0,12,2,2
253772,5,9,1,1,0,0,10,2,2
253773,5,72,1,135,0,150,0,0,2
253774,5,20,1,1,0,0,14,2,2
253775,5,59,1,136,0,82,14,4,2
253776,3,0,2,137,0,0,11,2,2
253777,3,0,2,138,0,118,0,0,2
253778,9,9,4,139,0,0,0,0,2
253779,3,0,2,140,0,0,5,2,2
253780,3,0,2,141,0,0,3,3,2
253781,9,73,4,142,0,87,9,5,2
253782,5,9,1,1,0,87,3,1,2
253783,1,2,1,143,0,0,10,5,2
253784,5,9,1,1,0,0,3,3,2
253785,5,5,34,1,0,0,0,0,2
253786,9,20,4,1,0,0,0,0,2
253787,3,74,2,144,0,0,5,5,2
253788,41,28,0,1,20,0,0,0,2
253789,12,20,8,1,0,0,4,1,2
253790,9,9,4,145,0,0,10,5,2
253791,3,9,2,146,4,107,14,1,2
253792,9,38,4,147,0,0,6,4,2
253793,5,0,1,148,0,0,5,2,2
253794,9,20,4,149,0,0,0,0,2
253795,5,9,1,1,0,0,10,5,2
253796,9,75,4,150,0,0,3,5,2
253797,22,76,14,1,0,92,8,2,2
253798,5,16,1,1,0,0,6,2,2
253799,6,77,4,151,0,100,9,2,2
253800,45,78,35,1,4,0,5,3,2
253801,9,79,4,1,0,0,12,5,2
253802,29,80,36,1,0,0,10,2,2
253803,9,9,4,152,0,0,3,2,2
253804,10,81,37,1,0,0,13,1,2
253805,46,4,3,1,0,14,0,0,2
253806,3,82,2,153,0,0,0,0,2
253807,9,83,4,1,0,0,14,5,2
253808,9,84,18,1,0,34,0,0,2
253809,12,0,0,154,0,0,4,2,2
253810,5,16,1,1,0,87,12,2,2
253811,12,21,8,155,0,75,0,0,2
253812,3,0,2,156,0,0,11,2,2
253813,3,9,2,1,0,0,0,0,2
253814,1,20,1,1,0,0,6,2,2
253815,5,4,0,1,0,0,0,0,2
253816,3,0,2,157,0,0,0,0,2
253817,9,18,4,158,0,0,3,2,2
253818,5,9,1,159,0,102,0,0,2
253819,9,0,4,1,0,0,0,0,2
253820,3,21,2,160,0,0,14,2,2
253821,47,21,4,161,0,150,0,0,2
253822,5,85,1,162,0,94,13,1,2
253823,5,12,1,1,5,0,0,0,2
253824,9,21,4,163,0,0,10,6,2
253825,31,21,20,1,0,0,5,2,2
253826,9,86,4,164,0,5,1,5,2
253827,9,47,4,165,0,110,0,0,2
253828,5,9,4,166,0,93,10,1,2
253829,5,0,0,1,4,0,0,0,2
253830,1,0,0,1,0,90,0,0,2
253831,1,1,1,167,0,56,1,4,2
253832,5,9,1,168,0,0,10,4,2
253833,18,87,38,1,0,0,14,5,2
253834,8,88,39,169,1,0,0,0,2
253835,9,17,4,170,0,0,3,2,2
253836,9,20,4,171,0,0,14,6,2
253837,12,89,8,1,4,20,11,1,2
253838,9,16,4,1,0,0,3,4,2
253839,3,90,2,172,0,58,9,2,2
253840,9,0,4,173,0,0,0,0,2
253841,9,45,4,174,0,0,11,4,2
253842,29,21,40,175,0,150,5,1,2
253843,31,0,0,1,0,0,0,0,2
253844,10,21,41,176,0,98,1,1,2
253845,12,72,8,1,0,0,4,5,2
253846,3,0,2,177,0,0,8,1,2
253847,9,91,4,1,0,0,5,5,2
253848,8,9,42,178,0,111,6,1,2
253849,3,16,2,179,0,0,1,2,2
253850,9,92,22,180,0,122,1,8,2
253851,48,2,19,181,0,99,5,5,2
253852,5,5,1,182,0,44,0,0,2
253853,5,9,1,1,0,0,14,2,2
253854,49,93,1,1,0,0,0,0,2
253855,5,59,1,1,0,0,1,2,2
253856,3,94,2,183,0,0,5,2,2
253857,3,0,2,184,0,0,0,0,2
253858,1,9,1,1,0,0,10,2,2
253859,50,12,20,185,0,20,1,3,2
253860,51,95,43,1,0,96,0,0,2
253861,9,21,4,186,0,134,14,2,2
253862,5,20,0,1,0,0,14,2,2
253863,3,96,2,1,0,0,10,2,2
253864,3,21,2,187,0,0,11,5,2
253865,12,97,8,188,0,85,11,6,2
253866,9,3,0,189,0,2,0,0,2
253867,12,20,8,190,0,0,10,5,2
253868,9,20,4,191,0,0,5,4,2
253869,3,0,2,192,0,0,14,1,2
253870,9,98,4,193,8,96,0,0,2
253871,9,0,0,194,0,113,13,5,2
253872,9,9,4,195,0,0,10,4,2
253873,5,9,1,1,0,0,6,2,2
253874,3,21,2,196,0,0,3,5,2
253875,12,99,8,1,0,0,4,1,2
253876,3,0,2,197,0,0,0,0,2
253877,5,9,1,198,0,0,10,2,2
253878,28,14,44,1,4,44,3,2,2
253879,9,100,4,199,0,84,12,6,2
253880,11,101,45,200,0,0,14,5,2
253881,5,59,1,1,0,0,3,2,2
253882,5,102,1,1,5,16,14,2,2
253883,3,23,2,201,0,0,6,6,2
253884,9,103,4,202,0,0,0,0,2
253885,9,104,4,203,0,97,13,6,2
253886,9,21,46,204,0,0,0,0,2
253887,3,105,2,205,11,0,3,1,2
253888,30,65,19,1,0,0,5,4,2
253889,52,12,47,206,0,13,0,0,2
253890,52,4,4,207,4,16,0,0,2
253891,5,41,1,208,0,27,6,3,2
253892,9,20,4,209,0,0,14,6,2
253893,3,39,2,210,0,0,1,2,2
253894,9,9,4,1,0,0,3,2,2
253895,11,32,45,211,0,0,10,5,2
253896,53,0,35,212,1,30,0,0,2
253897,12,99,8,1,9,0,0,0,2
253898,3,9,2,1,0,0,0,0,2
253899,12,53,0,1,0,0,0,0,2
253900,9,106,4,213,0,0,0,0,2
253901,1,41,1,1,4,15,0,0,2
253902,12,107,8,1,0,0,12,4,2
253903,5,108,1,214,0,100,1,5,2
253904,9,20,4,1,0,0,1,2,2
253905,3,0,2,215,0,0,14,5,2
253906,1,12,1,216,0,15,0,0,2
253907,9,20,4,1,0,0,14,4,2
253908,54,21,1,217,0,100,0,0,2
253909,3,109,2,218,0,0,5,2,2
253910,6,0,4,219,4,35,11,1,2
253911,9,74,4,220,0,0,1,4,2
253912,12,14,1,1,0,89,14,5,2
253913,3,0,2,221,0,0,5,1,2
253914,5,38,1,1,0,0,14,1,2
253915,5,9,1,1,0,0,3,2,2
253916,31,9,20,222,4,0,4,4,2
253917,3,3,5,1,4,14,0,0,2
253918,12,20,8,1,0,0,6,3,2
253919,3,110,2,223,0,106,1,5,2
253920,12,20,8,1,0,0,6,5,2
253921,9,17,4,1,0,0,4,1,2
253922,3,0,2,224,0,0,14,5,2
253923,3,9,2,1,0,30,10,5,2
253924,55,9,1,1,0,72,0,0,2
253925,9,0,4,225,1,2,0,0,2
253926,9,9,4,226,0,56,0,0,2
253927,9,9,4,226,0,94,0,0,2
253928,9,9,4,227,4,80,0,0,2
253929,9,111,4,228,0,0,10,4,2
253930,9,112,4,229,0,0,5,6,2
253931,9,20,4,230,4,0,4,6,2
253932,9,21,4,231,0,120,5,6,2
253933,22,113,48,1,4,14,14,3,2
253934,3,9,2,232,0,373,4,1,2
253935,3,9,2,1,4,0,10,1,2
253936,12,33,8,1,0,0,14,6,2
253937,3,114,2,137,0,0,5,2,2
253938,9,45,22,233,0,0,6,7,2
253939,9,20,4,1,0,0,11,5,2
253940,5,5,1,234,0,66,14,2,2
253941,3,21,2,235,0,0,5,2,2
253942,3,9,2,1,21,0,0,0,2
253943,9,115,4,236,0,76,8,2,2
253944,5,0,1,1,0,85,0,0,2
253945,3,14,2,237,0,0,4,2,2
253946,12,20,8,238,0,0,6,4,2
253947,9,116,4,239,0,85,9,2,2
253948,9,45,4,240,0,0,0,0,2
253949,3,0,2,1,0,0,14,4,2
253950,3,39,2,241,0,0,14,2,2
253951,3,0,2,242,0,0,1,1,2
253952,3,0,2,243,0,0,5,5,2
253953,3,32,2,244,0,0,3,5,2
253954,12,20,8,245,0,0,3,2,2
253955,3,20,2,246,0,0,10,3,2
253956,31,9,1,247,0,52,10,5,2
253957,12,20,8,238,0,0,4,6,2
253958,9,9,4,248,0,67,14,2,2
253959,9,9,4,249,0,0,3,4,2
253960,56,21,49,250,0,101,11,3,2
253961,3,74,2,172,0,0,8,6,2
253962,9,117,0,251,0,0,8,2,2
253963,5,18,1,1,0,16,5,1,2
253964,5,9,1,252,0,85,0,0,2
253965,52,4,4,253,0,24,11,1,2
253966,9,21,4,254,0,107,5,2,2
253967,9,9,4,255,0,100,5,5,2
253968,16,9,12,256,0,61,10,9,2
253969,5,9,50,1,0,0,3,2,2
253970,10,20,7,1,0,0,14,5,2
253971,5,91,0,1,0,0,14,1,2
253972,5,118,1,257,0,0,14,5,2
253973,39,9,51,258,4,82,3,1,2
253974,12,45,8,1,0,0,4,4,2
253975,1,0,0,1,0,0,0,0,2
253976,36,119,52,1,0,0,6,3,2
253977,11,120,45,1,0,0,14,2,2
253978,57,121,53,1,0,11,0,0,2
253979,9,4,0,259,0,20,0,0,2
253980,12,20,8,238,0,0,4,6,2
253981,3,0,2,260,0,45,14,5,2
253982,42,122,54,1,0,0,0,0,2
253983,3,110,2,261,0,0,1,2,2
253984,39,20,1,1,4,0,6,2,2
253985,3,106,2,262,0,0,5,4,2
253986,9,123,4,263,0,19,0,0,2
253987,8,45,39,1,0,0,4,6,2
253988,9,3,2,264,0,3,10,2,2
253989,3,16,2,265,0,0,0,0,2
253990,8,35,39,1,1,85,0,0,2
253991,12,20,8,1,0,0,0,0,2
253992,3,39,2,266,0,49,3,6,2
253993,31,3,5,1,4,6,3,1,2
253994,9,9,4,267,0,0,14,2,2
253995,3,124,2,268,0,0,12,5,2
253996,5,102,1,1,0,16,14,2,2
253997,58,21,55,269,0,100,12,3,2
253998,59,4,56,1,4,18,0,0,2
253999,12,5,8,270,0,101,1,4,2
254000,9,20,4,1,0,0,6,9,2
254001,3,21,2,271,0,124,3,5,2
254002,9,92,4,272,0,88,11,4,2
254003,6,4,4,273,0,25,5,1,2
254004,60,9,57,274,0,140,8,1,2
254005,61,9,4,275,0,90,14,1,2
254006,1,21,1,276,0,0,6,1,2
254007,9,125,4,277,0,7,1,5,2
254008,9,126,4,1,0,0,5,2,2
254009,9,20,4,1,0,0,14,9,2
254010,9,79,4,278,0,150,10,5,2
254011,29,127,58,1,0,0,6,4,2
254012,5,20,1,1,0,0,3,2,2
254013,9,9,59,279,0,0,10,6,2
254014,9,0,0,280,0,81,0,0,2
254015,3,114,2,281,0,0,11,5,2
254016,11,4,45,282,1,8,0,0,2
254017,12,20,8,1,0,0,10,5,2
254018,9,21,60,283,0,110,0,0,2
254019,41,9,28,284,4,79,0,0,2
254020,3,0,2,1,22,80,0,0,2
254021,5,70,1,285,23,82,0,0,2
254022,3,39,2,286,0,0,11,5,2
254023,9,45,4,1,0,71,10,1,2
254024,31,16,0,287,0,80,0,0,2
254025,62,21,61,288,0,120,0,0,2
254026,1,0,1,1,0,0,0,0,2
254027,1,0,1,1,0,0,0,0,2
254028,9,128,4,289,0,90,7,5,2
254029,3,16,2,290,0,120,10,6,2
254030,5,5,1,291,0,107,1,2,2
254031,31,102,20,292,0,107,0,0,2
254032,31,9,20,1,4,0,0,0,2
254033,10,21,62,293,0,127,5,1,2
254034,5,3,1,294,0,17,0,0,2
254035,9,5,4,295,0,82,12,4,2
254036,1,18,1,1,5,12,0,0,2
254037,9,9,4,296,0,0,3,4,2
254038,3,0,2,297,0,40,14,2,2
254039,3,90,2,298,0,120,5,1,2
254040,5,20,1,1,0,0,5,1,2
254041,7,23,3,1,0,101,11,1,2
254042,63,65,19,299,0,94,5,1,2
254043,9,3,4,300,0,14,0,0,2
254044,5,0,1,1,4,0,0,0,2
254045,5,18,4,301,4,26,0,0,2
254046,3,12,2,302,12,20,0,0,2
254047,9,129,0,303,0,0,10,5,2
254048,3,33,2,304,0,0,7,2,2
254049,3,39,2,305,0,0,10,5,2
254050,6,45,4,1,0,70,4,6,2
254051,9,21,4,306,0,84,0,0,2
254052,9,4,5,307,4,2,5,1,2
254053,9,4,4,308,4,20,0,0,2
254054,9,130,4,1,0,0,0,0,2
254055,12,131,8,309,0,0,10,4,2
254056,5,5,1,310,0,82,0,0,2
254057,1,9,1,1,1,0,0,0,2
254058,1,132,1,1,0,0,0,0,2
254059,5,91,1,1,0,55,0,0,2
254060,5,3,1,1,0,0,0,0,2
254061,1,32,1,311,0,0,6,6,2
254062,31,9,20,1,1,0,0,0,2
254063,3,21,2,1,0,0,11,2,2
254064,31,9,20,1,5,0,0,0,2
254065,12,0,8,1,0,0,0,0,2
254066,3,16,2,312,0,0,1,5,2
254067,9,9,4,313,0,0,4,6,2
254068,9,9,4,1,0,0,0,0,2
254069,64,5,0,1,0,0,10,3,2
254070,9,4,4,314,15,0,0,0,2
254071,9,133,4,315,0,0,0,0,2
254072,12,79,8,1,0,0,11,2,2
254073,9,3,4,316,5,3,0,0,2
254074,9,3,4,317,0,27,11,2,2
254075,9,79,4,318,0,0,4,6,2
254076,1,126,1,319,0,4,4,5,2
254077,65,134,1,320,0,105,8,4,2
254078,1,38,1,1,1,0,0,0,2
254079,5,28,1,321,0,6,1,2,2
254080,9,9,4,322,0,94,1,2,2
254081,12,38,8,1,0,0,4,5,2
254082,9,20,4,323,0,0,13,6,2
254083,6,102,4,324,0,106,3,2,2
254084,9,135,4,325,0,75,0,0,2
254085,9,19,4,1,0,0,0,0,2
254086,8,0,39,1,24,115,0,0,2
254087,5,9,1,1,0,0,3,4,2
254088,6,136,4,326,0,0,1,5,2
254089,12,74,8,327,0,0,5,4,2
254090,9,0,4,328,0,82,0,0,2
254091,9,39,39,329,0,34,0,0,2
254092,5,1,1,1,24,82,0,0,2
254093,3,16,2,330,0,0,10,5,2
254094,9,4,4,331,0,0,0,0,2
254095,3,137,2,332,0,0,7,2,2
254096,12,20,8,1,0,0,0,0,2
254097,12,20,8,238,0,0,4,4,2
254098,5,138,1,1,1,15,1,1,2
254099,31,9,20,1,4,0,0,0,2
254100,7,9,3,1,0,0,0,0,2
254101,12,39,8,333,0,87,8,1,2
254102,9,4,63,334,0,15,0,0,2
254103,6,35,4,1,5,177,0,0,2
254104,9,21,4,335,0,92,0,0,2
254105,3,139,2,336,0,0,3,4,2
254106,9,20,4,337,0,0,11,4,2
254107,66,16,0,1,0,77,0,0,2
254108,9,140,4,338,4,102,1,5,2
254109,9,20,4,339,0,0,10,4,2
254110,5,9,1,340,0,83,0,0,2
254111,67,21,32,341,0,100,0,0,2
254112,3,39,2,342,0,228,11,3,2
254113,9,3,4,343,0,0,10,4,2
254114,12,102,8,1,0,99,5,5,2
254115,1,90,0,344,0,0,1,1,2
254116,22,141,14,345,4,0,10,3,2
254117,9,32,4,346,0,97,5,8,2
254118,9,21,4,347,0,0,0,0,2
254119,68,9,14,1,4,0,6,2,2
254120,9,41,4,348,0,0,0,0,2
254121,5,28,1,1,24,11,0,0,2
254122,5,96,1,1,0,0,4,2,2
254123,9,19,4,1,4,0,0,0,2
254124,9,20,4,1,0,0,3,4,2
254125,9,20,4,1,0,0,0,0,2
254126,39,91,1,1,0,72,10,5,2
254127,5,23,1,349,0,95,7,5,2
254128,5,9,1,1,0,89,14,4,2
254129,9,93,4,350,0,85,16,5,2
254130,5,0,1,1,12,0,0,0,2
254131,9,142,4,315,0,0,0,0,2
254132,1,21,1,351,0,0,6,5,2
254133,9,18,4,352,0,0,14,5,2
254134,12,20,8,238,0,0,4,6,2
254135,5,91,1,353,0,54,3,4,2
254136,10,91,1,1,0,72,3,1,2
254137,7,0,3,1,0,0,4,1,2
254138,12,33,8,354,0,0,10,9,2
254139,9,143,4,355,0,0,0,0,2
254140,3,5,2,356,0,0,14,6,2
254141,9,45,4,1,0,0,6,2,2
254142,9,20,4,357,0,0,10,4,2
254143,5,9,1,1,0,0,0,0,2
254144,9,4,64,358,4,15,0,0,2
254145,9,19,4,1,0,0,8,2,2
254146,12,20,8,1,4,0,10,5,2
254147,9,18,4,359,0,0,10,9,2
254148,9,4,4,360,0,3,12,4,2
254149,1,20,1,1,0,0,0,0,2
254150,5,0,1,1,2,0,0,0,2
254151,9,144,4,361,0,65,1,4,2
254152,5,0,1,1,7,0,0,0,2
254153,5,0,1,1,6,0,0,0,2
254154,9,70,4,362,0,0,0,0,2
254155,1,9,54,1,0,59,10,5,2
254156,3,145,2,363,0,0,5,5,2
254157,31,146,20,1,4,0,6,1,2
254158,18,21,65,364,0,85,5,1,2
254159,5,0,1,1,7,0,0,0,2
254160,1,9,1,1,0,0,0,0,2
254161,9,9,4,365,1,90,0,0,2
254162,3,38,2,1,0,0,14,1,2
254163,3,39,2,366,0,66,10,2,2
254164,5,0,1,1,0,0,14,1,2
254165,3,16,2,367,0,0,0,0,2
254166,5,9,1,368,0,275,0,0,2
254167,9,90,4,369,0,92,5,9,2
254168,9,21,4,370,0,68,0,0,2
254169,3,0,2,1,1,0,0,0,2
254170,12,20,26,1,0,0,6,1,2
254171,28,5,44,371,0,0,6,4,2
254172,5,15,1,372,0,42,4,4,2
254173,5,9,1,1,25,0,0,0,2
254174,22,0,66,1,4,0,0,0,2
254175,69,147,3,373,5,0,0,0,2
254176,70,9,0,1,0,0,0,0,2
254177,9,148,4,374,0,0,0,0,2
254178,5,149,0,1,1,0,0,0,2
254179,31,9,20,1,5,0,0,0,2
254180,1,150,0,1,5,0,0,0,2
254181,9,20,4,1,0,0,10,9,2
254182,5,18,1,1,4,10,3,3,2
254183,25,17,4,20,0,71,4,2,2
254184,3,0,2,375,0,0,11,2,2
254185,3,151,2,376,0,120,1,4,2
254186,5,18,1,1,0,40,3,5,2
254187,71,21,67,377,0,93,11,1,2
