item_id,performer_ids,style,medium,music_douban_score,music_douban_votes,publish_time,type
151136,181,2,3,2,2,3,1
151137,182,0,1,2,2,3,1
151138,183,3,3,2,2,3,1
151139,184,3,3,3,8,3,1
151140,185,9,1,1,4,3,1
151141,186,4,3,2,2,3,1
151142,187,3,3,6,4,3,1
151143,188,1,4,2,2,3,1
151144,189,2,3,2,2,3,1
151145,190,2,3,2,2,3,1
151146,191,2,3,2,2,3,1
151147,192,2,3,2,2,3,1
151148,193,3,1,2,2,9,1
151149,194,3,2,4,4,3,1
151150,195,3,3,2,2,3,1
151151,196,10,3,2,2,4,1
151152,197,3,3,1,3,3,1
151153,198,4,1,7,3,3,1
151154,199,3,1,3,4,3,1
151155,200,0,2,2,2,3,1
151156,201,3,3,4,0,3,1
151157,202,4,3,6,3,3,1
151158,203,1,3,2,2,3,1
151159,204,8,1,2,2,3,1
151160,205,3,1,9,3,3,1
151161,206,0,3,2,2,3,1
151162,207,3,3,1,5,3,1
151163,208,3,3,0,7,3,1
151164,209,5,3,2,2,3,1
151165,210,2,3,2,2,3,1
151166,211,2,1,2,2,3,1
151167,212,9,3,2,2,3,1
151168,213,6,1,2,2,3,1
151169,214,0,9,2,2,3,1
151170,215,1,1,2,2,3,1
151171,216,2,3,0,5,3,1
151172,217,1,2,2,2,3,1
151173,218,0,1,0,0,3,1
151174,219,8,1,2,2,3,1
151175,220,0,3,2,2,3,1
151176,221,3,3,4,6,3,1
151177,222,3,3,9,5,3,1
151178,223,2,2,2,2,3,1
151179,224,3,3,7,4,3,1
151180,225,2,0,2,2,3,1
151181,226,5,3,2,2,3,1
151182,227,5,1,2,2,3,1
151183,228,1,3,2,2,3,1
151184,229,3,1,4,3,3,1
151185,230,2,3,2,2,3,1
151186,231,1,3,2,2,3,1
151187,232,2,1,2,2,3,1
151188,233,5,1,0,3,3,1
151189,234,1,3,1,3,3,1
151190,235,0,1,2,2,3,1
151191,236,3,3,1,3,3,1
151192,237,6,3,2,2,3,1
151193,238,6,3,2,2,6,1
151194,239,2,3,2,2,3,1
151195,240,0,3,4,0,3,1
151196,241,6,1,2,2,3,1
151197,242,3,1,1,5,3,1
151198,243,3,3,2,2,9,1
151199,244,3,3,2,2,9,1
151200,245,3,3,2,2,9,1
151201,246,5,3,2,2,9,1
151202,247,9,3,9,3,3,1
151203,248,3,1,2,2,21,1
151204,249,3,3,1,3,3,1
151205,250,3,3,1,0,3,1
151206,251,3,3,9,7,3,1
151207,252,3,3,4,3,3,1
151208,253,3,3,4,4,3,1
151209,254,2,3,7,3,3,1
151210,255,2,3,2,2,3,1
151211,256,2,3,2,2,3,1
151212,257,2,3,2,2,3,1
151213,258,3,3,3,0,3,1
151214,259,3,3,4,3,3,1
151215,260,10,3,2,2,3,1
151216,261,1,2,2,2,3,1
151217,262,0,3,3,6,3,1
151218,263,3,4,2,2,3,1
151219,264,1,4,2,2,3,1
151220,265,3,1,1,0,3,1
151221,266,2,3,1,0,3,1
151222,267,4,3,1,5,3,1
151223,268,3,3,7,7,3,1
151224,269,3,3,3,6,3,1
151225,270,3,3,3,3,3,1
151226,271,3,1,3,0,3,1
151227,272,3,1,2,2,3,1
151228,273,5,1,2,2,3,1
151229,274,6,1,2,2,3,1
151230,275,1,3,2,2,6,1
151231,276,4,3,2,2,3,1
151232,277,0,3,4,3,3,1
151233,278,8,3,2,2,3,1
151234,279,3,3,6,4,3,1
151235,280,2,3,2,2,6,1
151236,281,2,2,2,2,3,1
151237,282,2,3,4,3,3,1
151238,283,3,3,2,2,3,1
151239,284,3,1,6,4,3,1
151240,285,8,3,2,2,3,1
151241,286,0,1,1,3,3,1
151242,287,0,1,2,2,3,1
151243,288,3,3,7,0,3,1
151244,289,3,1,2,2,3,1
151245,290,4,3,9,4,3,1
151246,291,2,3,2,2,3,1
151247,292,3,3,2,2,3,1
151248,293,3,3,6,7,3,1
151249,294,13,3,7,4,3,1
151250,295,5,3,2,2,4,1
151251,296,3,3,2,2,3,1
151252,297,3,3,3,3,3,1
151253,298,1,3,2,2,9,1
151254,299,0,3,3,3,3,1
151255,300,0,3,0,3,3,1
151256,301,2,2,2,2,6,1
151257,302,5,1,2,2,17,1
151258,303,8,2,2,2,9,1
151259,304,9,1,7,4,3,1
151260,305,2,3,4,4,3,1
151261,306,2,2,2,2,3,1
151262,307,4,3,2,2,3,1
151263,308,5,1,2,2,16,1
151264,309,4,8,2,2,3,1
151265,310,0,3,6,3,3,1
151266,311,1,0,2,2,3,1
151267,312,4,2,2,2,3,1
151268,313,9,3,2,2,3,1
151269,314,12,1,2,2,22,1
151270,315,9,3,1,0,3,1
151271,316,2,3,2,2,5,1
151272,317,4,3,9,6,3,1
151273,318,3,3,2,2,3,1
151274,319,3,3,2,2,3,1
151275,320,1,4,1,6,3,1
151276,321,3,3,2,2,3,1
151277,322,3,3,9,7,3,1
151278,323,3,1,2,2,3,1
151279,324,11,1,2,2,3,1
151280,325,3,3,2,2,23,1
151281,326,3,2,2,2,3,1
151282,327,0,3,1,0,3,1
151283,328,0,3,3,0,3,1
151284,329,3,3,4,0,3,1
151285,330,5,1,2,2,3,1
151286,331,1,10,2,2,6,1
151287,332,4,2,0,0,3,1
151288,333,5,3,2,2,9,1
151289,334,3,3,2,2,4,1
151290,335,3,1,2,2,3,1
151291,336,3,3,2,2,6,1
151292,337,5,1,2,2,3,1
151293,338,12,3,9,0,3,1
151294,339,3,3,9,4,3,1
151295,340,1,4,2,2,3,1
151296,341,4,1,2,2,3,1
151297,342,5,1,2,2,6,1
151298,343,1,3,3,4,3,1
151299,344,0,4,2,2,3,1
151300,345,3,3,2,2,24,1
151301,346,3,3,6,4,3,1
151302,347,3,3,1,3,3,1
151303,348,3,3,4,0,3,1
151304,349,3,3,4,8,3,1
151305,350,3,3,1,3,3,1
151306,351,1,3,2,2,3,1
151307,352,2,1,2,2,4,1
151308,353,7,3,2,2,25,1
151309,354,1,3,4,4,3,1
151310,355,1,2,3,4,3,1
151311,356,1,3,3,3,3,1
151312,357,3,3,0,0,3,1
151313,358,1,3,2,2,3,1
151314,359,9,3,7,4,3,1
151315,360,0,1,2,2,3,1
151316,361,3,3,9,0,3,1
151317,362,10,3,3,4,3,1
151318,363,3,1,11,8,3,1
151319,364,1,1,2,2,3,1
151320,365,3,3,3,3,3,1
151321,366,1,4,2,2,3,1
151322,367,4,2,2,2,3,1
151323,368,3,2,1,5,3,1
151324,369,3,3,6,4,3,1
151325,370,3,3,2,2,3,1
151326,371,9,3,2,2,3,1
151327,372,3,3,3,0,3,1
151328,373,3,3,2,2,3,1
151329,374,3,3,5,5,3,1
151330,375,3,3,1,4,3,1
151331,376,8,3,2,2,3,1
151332,377,4,3,2,2,3,1
151333,378,5,1,2,2,3,1
151334,379,2,2,2,2,3,1
151335,380,3,11,3,3,3,1
151336,381,2,3,2,2,3,1
151337,382,6,2,2,2,26,1
151338,383,3,3,7,4,3,1
151339,384,2,2,2,2,3,1
151340,385,8,3,2,2,3,1
151341,386,3,1,3,5,3,1
151342,387,6,1,2,2,3,1
151343,388,3,2,2,2,3,1
151344,389,5,1,2,2,3,1
151345,390,10,3,0,4,3,1
151346,391,4,2,2,2,3,1
151347,392,3,3,2,2,3,1
151348,393,2,3,2,2,3,1
151349,394,0,3,2,2,3,1
151350,395,3,3,2,2,27,1
151351,396,2,3,2,2,3,1
151352,397,1,10,2,2,3,1
151353,398,5,1,2,2,4,1
151354,399,4,2,9,0,3,1
151355,400,3,3,2,2,4,1
151356,401,3,3,7,4,3,1
151357,402,3,3,2,2,6,1
151358,403,3,1,6,5,3,1
151359,404,3,3,2,2,2,1
151360,405,3,3,2,2,3,1
151361,406,3,3,2,2,3,1
151362,407,3,3,9,3,3,1
151363,408,1,3,2,2,3,1
151364,409,3,3,0,8,3,1
151365,410,3,3,6,6,3,1
151366,411,3,3,3,4,3,1
151367,412,3,3,8,3,3,1
151368,413,3,3,2,2,3,1
151369,414,0,3,2,2,3,1
151370,415,1,3,2,2,3,1
151371,416,3,1,7,4,3,1
151372,417,3,3,1,8,3,1
151373,418,3,3,9,7,3,1
151374,419,4,3,2,2,3,1
151375,420,3,3,1,3,3,1
151376,421,4,7,9,4,3,1
151377,422,0,3,4,3,3,1
151378,423,3,3,2,2,3,1
151379,424,3,3,3,3,3,1
151380,425,3,3,4,3,3,1
151381,426,2,1,2,2,3,1
151382,427,3,3,3,4,3,1
151383,428,0,2,2,2,3,1
151384,429,3,3,7,5,3,1
151385,430,0,3,6,0,3,1
151386,431,9,3,6,4,3,1
151387,432,3,3,7,8,3,1
151388,433,8,3,6,6,3,1
151389,434,5,1,2,2,3,1
151390,435,1,1,2,2,3,1
151391,436,2,1,2,2,3,1
151392,437,5,3,2,2,3,1
151393,438,3,0,6,6,3,1
151394,439,2,1,7,6,3,1
151395,440,3,3,4,3,3,1
151396,441,0,3,1,0,3,1
151397,442,5,2,2,2,5,1
151398,443,3,3,9,3,3,1
151399,444,1,1,9,0,3,1
151400,445,0,0,5,4,3,1
151401,446,9,1,3,4,3,1
151402,447,3,3,3,5,3,1
151403,448,3,3,2,2,3,1
151404,449,10,4,2,2,3,1
151405,450,3,3,2,2,23,1
151406,451,10,1,10,4,3,1
151407,452,1,1,4,4,3,1
151408,453,3,3,1,3,3,1
151409,454,0,3,1,3,3,1
151410,455,1,1,2,2,3,1
151411,456,8,3,2,2,6,1
151412,457,3,3,9,0,3,1
151413,458,0,3,1,0,3,1
151414,459,1,1,2,2,3,1
151415,460,8,3,7,4,3,1
151416,461,3,1,3,5,3,1
151417,462,3,3,7,0,3,1
151418,463,3,3,9,7,3,1
151419,464,3,3,4,3,3,1
151420,465,3,3,4,3,3,1
151421,466,3,2,2,2,3,1
151422,467,0,3,4,0,3,1
151423,468,3,3,1,0,3,1
151424,469,1,3,2,2,3,1
151425,470,4,2,6,3,3,1
151426,471,5,1,2,2,3,1
151427,472,8,3,0,3,3,1
151428,473,2,3,2,2,3,1
151429,474,1,3,9,3,3,1
151430,475,2,2,9,6,3,1
151431,476,0,3,4,0,3,1
151432,477,2,1,4,4,3,1
151433,478,2,2,2,2,3,1
151434,479,3,3,3,5,3,1
151435,480,2,2,0,0,3,1
151436,481,0,1,9,4,3,1
151437,482,3,3,4,0,3,1
151438,483,3,3,4,7,3,1
151439,484,4,3,3,6,3,1
151440,485,3,1,7,5,3,1
151441,486,2,2,1,6,3,1
151442,487,3,3,0,8,3,1
151443,488,3,3,5,5,3,1
151444,489,8,3,0,5,3,1
151445,490,1,3,2,2,3,1
151446,491,8,3,4,4,3,1
151447,492,3,3,6,3,3,1
151448,493,9,1,4,7,3,1
151449,494,3,3,9,5,3,1
151450,495,9,3,1,4,3,1
151451,496,2,1,2,2,3,1
151452,497,3,3,7,4,3,1
151453,498,8,3,2,2,3,1
151454,499,4,3,2,2,3,1
151455,500,1,3,1,0,3,1
151456,501,2,3,6,3,3,1
151457,502,0,1,2,2,3,1
151458,503,3,3,4,4,3,1
151459,504,3,3,7,4,3,1
151460,505,0,3,2,2,3,1
151461,506,1,1,2,2,3,1
151462,507,8,3,9,3,3,1
151463,508,1,3,3,0,3,1
151464,509,1,3,12,3,3,1
151465,510,4,3,4,3,3,1
151466,511,4,2,3,0,3,1
151467,512,8,3,2,2,3,1
151468,513,1,3,2,2,3,1
151469,514,4,3,0,3,3,1
151470,515,10,1,3,4,3,1
151471,516,3,3,7,6,3,1
151472,517,2,2,2,2,3,1
151473,518,3,1,6,4,3,1
151474,519,2,2,2,2,3,1
151475,520,4,3,12,3,3,1
151476,521,4,3,8,3,3,1
151477,522,0,1,1,4,3,1
151478,523,4,3,12,8,3,1
151479,524,3,1,3,5,3,1
151480,525,2,1,2,2,3,1
151481,526,4,3,3,4,3,1
151482,527,2,1,2,2,3,1
151483,528,2,4,2,2,28,1
151484,529,3,3,4,5,3,1
151485,530,3,3,7,4,3,1
151486,531,3,3,4,7,3,1
151487,532,2,1,2,2,3,1
151488,533,2,2,2,2,3,1
151489,534,3,3,1,5,3,1
151490,535,5,1,2,2,3,1
151491,536,6,1,2,2,6,1
151492,537,1,3,9,4,3,1
151493,538,2,1,7,4,3,1
151494,539,1,3,2,2,3,1
151495,540,3,3,4,4,3,1
151496,541,3,3,9,3,3,1
151497,542,10,3,10,0,25,1
151498,543,3,3,1,3,3,1
151499,544,3,3,4,5,3,1
151500,545,3,3,1,0,3,1
151501,546,3,3,7,4,3,1
151502,547,4,3,4,3,3,1
151503,548,3,3,1,0,3,1
151504,549,3,3,1,0,3,1
151505,550,3,1,12,0,3,1
151506,551,3,3,1,4,3,1
151507,552,3,1,3,0,3,1
151508,553,4,3,2,2,3,1
151509,554,5,2,2,2,3,1
151510,555,2,2,2,2,4,1
151511,556,3,3,7,3,3,1
151512,557,5,4,2,2,2,1
151513,558,6,4,0,3,3,1
151514,559,4,3,3,3,3,1
151515,560,0,3,2,2,3,1
151516,561,3,3,3,0,3,1
151517,562,3,3,1,5,3,1
151518,563,8,1,9,6,3,1
151519,564,2,3,2,2,3,1
151520,565,0,1,2,2,3,1
151521,566,2,2,2,2,3,1
151522,567,2,1,2,2,3,1
151523,568,3,1,8,4,3,1
151524,569,3,1,2,2,5,1
151525,570,1,3,2,2,3,1
151526,571,8,3,2,2,3,1
151527,572,2,3,3,0,3,1
151528,573,3,3,9,8,3,1
151529,574,9,3,2,2,3,1
151530,575,0,3,0,4,3,1
151531,576,3,3,0,0,3,1
151532,577,3,3,13,3,3,1
151533,578,1,3,3,3,3,1
151534,579,9,3,2,2,3,1
151535,580,6,12,10,4,3,1
151536,581,2,2,2,2,3,1
151537,582,3,3,2,2,3,1
151538,583,2,13,2,2,3,1
151539,584,3,3,4,7,3,1
151540,585,3,0,1,4,3,1
151541,586,0,3,2,2,3,1
151542,587,3,1,3,8,3,1
151543,588,3,3,0,4,3,1
151544,589,8,1,2,2,2,1
151545,590,8,1,2,2,2,1
151546,591,8,1,2,2,2,1
151547,592,1,3,9,4,3,1
151548,593,3,3,1,3,3,1
151549,594,2,1,2,2,3,1
151550,595,5,3,2,2,2,1
151551,596,3,3,5,0,9,1
151552,597,2,2,2,2,3,1
151553,598,4,3,11,0,3,1
151554,599,9,1,4,4,3,1
151555,600,3,3,2,2,3,1
151556,601,2,3,7,3,3,1
151557,602,3,3,9,0,3,1
151558,603,3,3,2,2,3,1
151559,604,3,3,3,3,3,1
151560,605,3,1,7,3,3,1
151561,606,3,1,3,0,3,1
151562,607,3,3,4,4,3,1
151563,608,2,3,3,4,3,1
151564,609,2,2,2,2,3,1
151565,610,1,3,3,6,3,1
151566,611,9,3,6,4,3,1
151567,612,2,4,2,2,3,1
151568,613,3,1,3,4,3,1
151569,614,3,3,2,2,3,1
151570,615,5,1,2,2,3,1
151571,616,3,3,4,0,3,1
151572,617,3,3,3,7,3,1
151573,618,3,3,2,2,3,1
151574,619,4,2,2,2,3,1
151575,620,3,3,4,3,3,1
151576,621,3,1,3,5,3,1
151577,622,0,3,6,4,3,1
151578,623,9,3,2,2,3,1
151579,624,3,1,3,8,3,1
151580,625,0,3,7,3,3,1
151581,626,0,3,7,0,3,1
151582,627,2,2,2,2,3,1
151583,628,4,3,4,6,3,1
151584,629,2,3,5,3,3,1
151585,630,3,3,7,3,3,1
151586,631,2,1,3,4,3,1
151587,632,2,3,2,2,3,1
151588,633,1,4,9,3,3,1
151589,634,3,3,4,4,3,1
151590,635,3,1,4,0,3,1
151591,636,3,3,4,8,3,1
151592,637,4,1,1,8,3,1
151593,638,3,3,4,3,3,1
151594,639,0,3,2,2,3,1
151595,640,3,3,8,8,3,1
151596,641,3,1,1,3,3,1
151597,642,4,3,3,6,3,1
151598,643,3,3,3,4,3,1
151599,644,3,3,12,4,3,1
151600,645,3,3,6,4,3,1
151601,646,8,1,0,6,3,1
151602,647,4,3,7,0,3,1
151603,648,1,1,2,2,3,1
151604,649,3,3,7,3,3,1
151605,650,4,3,9,4,3,1
151606,651,0,3,4,3,3,1
151607,652,1,3,2,2,3,1
151608,653,10,3,2,2,3,1
151609,654,3,3,2,2,3,1
151610,655,2,1,2,2,3,1
151611,656,1,3,2,2,3,1
151612,657,3,3,6,5,3,1
151613,658,12,3,9,4,3,1
151614,659,10,3,4,3,3,1
151615,660,3,3,4,5,3,1
151616,661,6,1,2,2,3,1
151617,662,8,3,1,3,3,1
151618,663,9,3,3,3,3,1
151619,664,9,3,3,8,3,1
151620,665,3,1,1,8,3,1
151621,666,3,3,7,5,3,1
151622,667,2,2,2,2,3,1
151623,668,5,1,2,2,3,1
151624,669,10,4,2,2,26,1
151625,670,3,3,4,4,3,1
151626,671,10,1,2,2,3,1
151627,672,2,1,2,2,25,1
151628,673,3,1,3,7,3,1
151629,674,2,2,9,4,3,1
151630,675,2,3,1,3,3,1
151631,676,12,3,9,3,3,1
151632,677,0,3,7,3,3,1
151633,678,8,3,2,2,3,1
151634,679,1,3,2,2,4,1
151635,680,3,3,4,0,3,1
151636,681,3,3,2,2,3,1
151637,682,3,3,7,0,3,1
151638,683,3,3,7,5,3,1
151639,684,4,2,6,4,3,1
151640,685,4,2,3,0,3,1
151641,686,1,3,0,4,3,1
151642,687,0,3,9,0,3,1
151643,688,1,0,9,3,3,1
151644,689,3,2,3,5,3,1
151645,690,3,3,2,2,3,1
151646,691,8,1,3,6,3,1
151647,692,3,1,7,0,3,1
151648,693,2,2,2,2,3,1
151649,694,2,1,5,4,3,1
151650,695,5,1,9,4,3,1
151651,696,2,3,3,4,3,1
151652,697,3,3,4,8,3,1
151653,698,3,3,1,3,3,1
151654,699,8,3,9,6,3,1
151655,700,3,3,4,0,3,1
151656,701,3,3,2,2,4,1
151657,702,2,1,4,0,3,1
151658,703,1,3,2,2,3,1
151659,704,3,3,2,2,3,1
151660,705,4,3,2,2,3,1
151661,706,3,1,7,0,3,1
151662,707,3,3,2,2,3,1
151663,708,1,3,2,2,9,1
151664,709,9,4,3,5,3,1
151665,710,3,3,4,4,3,1
151666,711,3,3,2,2,3,1
151667,712,3,3,2,2,3,1
151668,713,3,3,9,3,3,1
151669,714,0,1,9,5,3,1
151670,715,1,3,2,2,6,1
151671,716,2,3,1,4,3,1
151672,717,3,3,2,2,9,1
151673,718,9,1,10,6,3,1
151674,719,3,3,2,2,3,1
151675,720,3,3,2,2,3,1
151676,721,3,3,8,4,3,1
151677,722,2,2,2,2,3,1
151678,723,3,1,6,0,3,1
151679,724,3,3,3,5,3,1
151680,725,3,3,4,7,3,1
151681,726,2,3,7,3,3,1
151682,727,3,1,4,4,3,1
151683,728,10,3,7,3,3,1
151684,729,3,3,7,0,3,1
151685,730,0,1,2,2,3,1
151686,731,3,3,3,4,3,1
151687,732,1,3,4,5,3,1
151688,733,3,3,4,6,3,1
151689,734,3,3,12,0,3,1
151690,735,3,1,7,4,3,1
151691,736,4,3,3,5,3,1
151692,737,3,3,6,3,3,1
151693,738,0,3,3,6,3,1
151694,739,4,3,2,2,3,1
151695,740,6,1,2,2,3,1
151696,741,1,3,1,4,3,1
151697,742,3,1,7,5,3,1
151698,743,3,3,3,5,3,1
151699,744,3,3,4,4,3,1
151700,745,5,1,2,2,3,1
151701,746,10,1,5,4,3,1
151702,747,3,3,2,2,3,1
151703,748,9,1,3,4,3,1
151704,749,3,3,7,3,3,1
151705,750,3,3,5,5,23,1
151706,751,0,1,2,2,3,1
151707,752,3,1,2,2,3,1
151708,753,4,1,6,4,3,1
151709,754,3,1,9,5,3,1
151710,755,9,3,1,6,3,1
151711,756,3,3,9,3,3,1
151712,757,2,3,1,5,3,1
151713,758,5,1,2,2,3,1
151714,759,3,3,6,0,3,1
151715,760,2,1,2,2,3,1
151716,761,2,3,2,2,3,1
151717,762,2,1,6,6,3,1
151718,763,2,2,2,2,3,1
151719,764,10,1,1,3,3,1
151720,765,3,3,1,3,3,1
151721,766,10,1,1,3,3,1
151722,767,3,1,1,0,3,1
151723,768,1,3,6,3,3,1
151724,769,8,3,0,5,3,1
151725,770,9,1,4,0,3,1
151726,771,3,3,3,8,3,1
151727,772,5,1,3,6,3,1
151728,773,5,1,4,4,3,1
151729,774,2,3,1,6,3,1
151730,775,9,1,7,0,3,1
151731,776,3,1,1,5,3,1
151732,777,3,3,1,3,3,1
151733,778,2,1,2,2,3,1
151734,779,0,3,4,3,3,1
151735,780,2,2,8,3,3,1
151736,781,8,3,6,0,3,1
151737,782,0,1,2,2,29,1
151738,783,8,1,2,2,30,1
151739,784,2,1,2,2,8,1
151740,785,9,3,2,2,3,1
151741,786,8,3,3,3,3,1
151742,787,3,1,7,8,3,1
151743,788,4,3,4,4,3,1
151744,789,3,1,9,3,3,1
151745,790,2,1,3,5,3,1
151746,791,0,1,2,2,3,1
151747,792,0,3,1,3,3,1
151748,793,6,1,1,4,3,1
151749,794,3,1,3,7,3,1
151750,795,0,1,3,4,3,1
151751,796,1,3,1,3,3,1
151752,797,2,3,0,4,3,1
151753,798,3,1,3,3,3,1
151754,799,2,4,9,4,3,1
151755,800,3,1,4,0,3,1
151756,801,1,3,2,2,3,1
151757,802,4,3,6,8,3,1
151758,803,3,3,9,3,3,1
151759,804,3,3,3,4,3,1
151760,805,3,3,4,0,3,1
151761,806,0,3,3,8,3,1
151762,807,2,3,2,2,3,1
151763,808,0,3,4,0,3,1
151764,809,10,1,9,4,3,1
151765,810,0,3,2,2,3,1
151766,811,4,3,3,3,3,1
151767,812,3,3,4,0,3,1
151768,813,3,1,3,0,3,1
151769,814,2,2,2,2,9,1
151770,815,1,1,2,2,3,1
151771,816,3,1,3,8,3,1
151772,817,3,1,12,3,3,1
151773,818,3,1,9,0,3,1
