user_id,movie_num,music_num,book_num,sign_up_date
12520,200,188,5, 2008-02-05
18148,36,19,2, 2017-02-28
8798,474,198,537, 2009-01-17
292,4062,374,755, 2008-06-25
920,388,1154,35, 2009-02-15
21291,234,88,306, 2005-11-30
20608,1953,998,492, 2006-08-06
14031,774,533,2678, 2010-09-02
15160,635,1511,216, 2007-03-07
14808,2390,1649,212, 2007-12-26
7426,1398,1610,1582, 2007-02-07
6696,1265,97,1453, 2011-04-04
28654,198,99,94, 2012-06-18
1597,1566,563,1335, 2014-05-28
18813,727,178,3275, 2007-12-08
342,283,666,368, 2005-12-25
22145,236,135,575, 2006-05-16
17317,261,253,35, 2006-06-20
1217,-1,31,1, 2020-09-07
6258,234,90,1347, 2007-11-15
17286,60,155,3, 2006-01-31
32835,1,-1,-1, 2020-10-02
31706,155,2,-1, 2011-12-04
25976,525,109,197, 2009-04-01
33006,219,206,-1, 2018-05-12
8622,155,2669,4, 2016-03-02
4581,-1,1,-1, 2020-10-09
26561,115,10,4, 2018-01-02
28825,1087,168,112, 2010-11-14
4708,678,84,5, 2009-01-11
8838,220,135,39, 2015-10-10
32475,7,6,-1, 2018-06-13
21065,19,4,1, 2011-10-03
6059,91,70,2, 2016-04-06
5871,1822,273,120, 2014-06-15
22221,1095,49,86, 2011-09-12
4324,262,397,101, 2008-05-16
947,18,39,1, 2007-08-22
26982,2,1,4, 2012-05-22
2589,5,15,1, 2019-12-18
16320,181,124,83, 2013-05-03
18778,2709,260,1716, 2009-07-21
4731,7,10,1, 2011-03-20
10295,1498,1042,295, 2008-12-12
26132,178,85,96, 2018-05-01
11654,97,2,35, 2019-12-01
1487,656,381,-1, 2016-09-21
22279,9,100,-1, 2020-07-28
24606,946,1375,23, 2005-08-31
2608,2,5,1, 2020-01-18
22012,627,131,20, 2009-04-09
15110,344,111,66, 2017-01-14
14181,738,823,10, 2008-12-27
32809,3,55,-1, 2007-11-11
1964,18,136,-1, 2018-11-23
8406,1784,754,180, 2008-10-25
7247,1021,175,68, 2010-11-16
63,337,519,272, 2014-11-15
2930,316,93,5, 2007-10-13
14772,518,301,56, 2012-12-15
8127,251,792,32, 2016-10-01
1434,27,11,-1, 2017-11-08
8833,654,346,18, 2010-10-15
15228,40,95,3, 2010-11-24
32072,79,274,-1, 2014-03-22
1016,547,501,236, 2011-01-31
20734,292,23,2, 2013-01-07
614,224,195,12, 2009-08-12
27110,493,-1,47, 2010-06-30
23246,114,42,1, 2017-05-08
25434,195,31,12, 2010-06-02
13297,63,156,15, 2011-07-13
5437,-1,75,-1, 2016-09-12
14548,164,99,14, 2018-07-16
11797,1007,137,749, 2008-07-02
7159,517,613,608, 2006-02-23
8072,393,132,61, 2007-05-03
25590,61,84,16, 2008-04-29
696,425,660,88, 2007-07-01
26003,37,8,3, 2011-08-26
4534,21,19,-1, 2010-01-10
1601,4,3,-1, 2020-10-04
26257,271,885,2, 2016-05-19
17014,14,41,1, 2014-07-07
10941,43,6,1, 2019-08-18
18049,814,126,1133, 2010-06-10
32533,6,30,-1, 2012-03-22
14633,1014,737,65, 2009-02-10
2755,1946,347,752, 2009-05-16
13308,699,139,36, 2007-02-25
352,753,3054,1138, 2006-10-30
25998,2016,436,3439, 2012-12-04
23296,1305,8276,2366, 2005-12-01
19113,892,3773,319, 2009-06-19
22011,458,42,351, 2019-07-29
15771,245,24,3, 2008-05-13
27105,386,9,3, 2008-07-14
6572,8,8,1, 2018-07-13
28295,535,8,14, 2016-12-12
26049,716,165,312, 2016-09-15
33443,112,23,1, 2015-02-23
18,27,2,-1, 2020-06-05
21462,279,1876,3, 2011-05-30
6592,2,14,-1, 2020-04-16
31946,153,243,-1, 2017-10-09
10302,633,314,1437, 2007-01-26
22226,192,161,4, 2014-11-30
1731,288,327,17, 2009-12-19
28256,912,1284,316, 2008-09-17
2553,17,3,-1, 2015-11-12
26221,717,244,204, 2016-12-03
22204,865,514,327, 2007-08-29
24991,1078,700,51, 2013-06-06
9487,447,114,49, 2008-06-30
5851,886,119,31, 2012-04-15
14679,1057,856,1071, 2006-03-04
6549,-1,57,-1, 2011-02-12
26942,32,1,2, 2016-02-24
14092,787,1376,1001, 2007-02-12
6420,559,478,2, 2008-09-25
8232,239,1398,28, 2008-06-17
3854,503,353,129, 2012-08-09
11137,194,811,1, 2010-10-08
20325,55,287,2, 2020-01-23
6350,76,13,9, 2008-02-01
12646,16,8,-1, 2017-08-09
19476,170,224,2, 2008-03-20
210,922,544,173, 2008-08-19
18854,89,30,-1, 2014-06-05
14159,3954,1014,92, 2008-09-12
13637,1849,201,984, 2015-01-11
6274,711,2387,938, 2009-09-06
26458,1373,258,21, 2008-03-17
26719,459,408,350, 2006-11-05
22370,15,2,-1, 2006-12-29
26292,90,159,59, 2016-06-30
15615,539,385,275, 2008-09-23
26370,814,541,3480, 2010-08-09
3821,1053,633,388, 2013-02-12
15168,53,50,14, 2015-12-01
16617,2427,998,1175, 2007-08-12
15639,107,210,21, 2019-10-27
8799,965,190,215, 2006-06-03
12468,183,538,-1, 2015-06-25
3692,279,337,-1, 2010-09-14
31628,149,117,6, 2013-05-28
106,178,367,8, 2010-08-26
10197,708,495,214, 2010-07-06
5789,370,305,16, 2007-02-05
2363,27,6,28, 2006-12-24
12109,97,172,-1, 2014-12-28
2218,217,324,208, 2017-06-13
10141,72,47,-1, 2009-02-22
1269,737,572,4, 2015-11-11
11282,1939,779,561, 2009-10-04
6850,658,764,92, 2016-04-09
381,715,31,4, 2011-03-21
4344,6,2,13, 2008-11-08
5172,15,27,1, 2013-12-19
22098,549,764,23, 2016-03-18
2140,6,35,-1, 2008-06-01
13596,484,409,23, 2016-01-16
464,1079,270,153, 2012-10-02
30994,639,515,213, 2013-02-22
11061,255,20,-1, 2010-09-21
3535,317,250,38, 2010-06-16
27454,1014,892,44, 2007-05-23
31655,97,154,1, 2007-09-25
13911,1239,572,756, 2012-01-19
27071,7678,108,2, 2007-09-06
19954,566,250,132, 2006-10-03
8962,76,15,5, 2011-09-19
7682,965,429,223, 2010-06-11
2871,366,109,18, 2010-06-29
2323,219,46,5, 2010-11-02
28601,495,1426,79, 2006-03-03
2342,594,363,18, 2011-05-09
7307,546,247,844, 2009-02-04
18743,1144,495,501, 2009-02-07
26873,547,35,34, 2011-11-18
2675,636,523,47, 2005-12-05
3506,1344,288,101, 2009-08-13
19900,73,12,-1, 2019-05-11
2496,137,57,13, 2017-10-22
7316,681,246,233, 2010-05-17
805,417,326,560, 2009-05-23
16858,677,767,174, 2007-01-29
18849,583,440,699, 2009-10-03
18650,390,287,101, 2006-11-05
11036,1948,1026,38, 2009-06-16
4380,233,15,5, 2019-08-29
8723,650,1726,1087, 2006-11-18
20926,716,314,813, 2008-11-29
20099,204,71,-1, 2017-04-07
16025,46,4,12, 2010-03-01
544,731,929,1205, 2006-12-06
28090,1420,-1,56, 2013-05-09
13602,1655,559,1058, 2008-11-29
1549,246,388,4, 2016-07-28
984,395,186,45, 2013-04-03
3118,104,51,69, 2007-10-03
3132,74,482,2, 2008-01-30
22464,790,1315,536, 2010-02-26
19167,4653,299,28, 2010-03-12
14025,1093,638,378, 2009-08-11
15747,1178,544,28, 2015-06-11
22559,378,64,27, 2010-11-08
32409,93,1,-1, 2015-01-30
12868,4315,1113,13295, 2006-03-08
27659,2589,-1,6, 2010-07-12
21411,331,102,14, 2009-02-23
7049,503,417,7, 2013-04-18
4119,349,130,8, 2009-10-26
7248,9962,211,354, 2007-09-03
11832,1519,482,96, 2008-12-28
9781,590,129,33, 2007-02-22
27535,11,-1,2, 2019-05-05
22308,12431,169,1179, 2008-05-24
14242,4205,5,49, 2010-09-07
7163,2010,23,130, 2007-08-16
2880,2865,269,194, 2010-12-26
14037,2427,238,1231, 2011-07-13
7792,235,88,1, 2007-11-23
4492,2022,901,680, 2006-05-21
24838,1707,22,599, 2018-06-12
13182,1041,209,20, 2016-07-13
1825,244,99,-1, 2016-05-31
13290,71,172,85, 2019-10-05
13681,3926,702,1652, 2011-11-07
27003,1201,490,64, 2010-08-17
9,594,678,14, 2009-06-09
10248,372,79,1, 2008-10-08
26667,61,49,3, 2009-10-21
20372,867,286,154, 2009-06-02
12780,2,96,-1, 2010-05-21
17323,830,285,5, 2008-12-14
27812,2416,225,159, 2010-02-06
28778,514,415,8, 2007-04-27
18008,294,140,-1, 2009-06-09
19936,26,37,-1, 2009-10-03
27268,324,1180,21, 2006-07-17
12617,1016,1094,259, 2006-06-22
3906,1621,946,2, 2007-11-28
3215,4,295,1, 2011-11-15
240,59,1539,5, 2007-09-19
7943,2334,2739,1820, 2006-06-06
26283,463,59,9, 2014-10-31
11419,342,84,42, 2016-07-19
15181,134,532,162, 2008-06-28
4622,47,76,-1, 2013-11-16
2434,57,27,3, 2012-01-05
7289,1361,1612,1318, 2006-02-27
21171,342,282,-1, 2020-04-19
21530,419,285,55, 2013-07-24
7635,363,304,27, 2011-02-27
5402,86,81,97, 2012-09-19
10710,52,16,-1, 2017-11-20
6801,1882,1937,45, 2009-03-27
9102,605,5,184, 2018-03-26
19519,24,48,2, 2011-11-02
23127,17,11,350, 2013-08-13
882,2414,1324,526, 2012-05-18
22744,983,2797,314, 2007-10-18
8101,312,970,48, 2007-05-12
13654,470,368,1698, 2007-10-08
21924,50,2,-1, 2010-11-07
31970,2,1,-1, 2020-03-21
14188,3648,732,1029, 2006-11-14
4226,463,195,157, 2007-04-01
21919,595,398,387, 2010-03-06
27284,1658,767,649, 2007-08-29
23631,549,112,30, 2008-07-04
19486,69,247,1, 2009-10-11
16878,1844,167,147, 2008-02-20
14583,217,71,671, 2012-07-13
21206,10,6,-1, 2020-02-14
7783,756,750,189, 2010-08-07
16697,161,197,32, 2019-06-22
9658,2061,2630,43, 2009-10-20
20591,11,3,-1, 2018-06-28
15331,4310,799,149, 2007-09-10
404,1019,56,313, 2007-01-07
6083,993,6571,52, 2008-01-20
32925,39,2,-1, 2009-01-05
3807,494,140,22, 2008-05-17
7126,1,79,-1, 2014-06-16
15732,1379,425,1118, 2008-10-11
12229,2648,271,296, 2006-04-09
6148,460,57,75, 2011-10-28
18833,696,71,1057, 2010-02-04
12530,884,69,248, 2010-07-04
13439,431,72,5, 2010-07-28
2823,7,5,7, 2009-12-14
683,2080,4014,2818, 2008-05-22
26822,519,29,233, 2015-12-08
28586,750,309,63, 2010-07-16
11467,14,19,10, 2008-01-31
26917,216,15,20, 2009-05-30
90,445,749,610, 2006-03-12
1862,940,536,26, 2013-06-08
8103,519,24,63, 2009-09-23
33804,602,-1,-1, 2011-03-23
24170,32,6,-1, 2014-01-28
9321,462,89,6, 2015-08-23
10208,2206,320,264, 2010-03-14
1438,353,25,20, 2008-10-20
25498,241,542,1020, 2009-06-24
6509,3104,419,1724, 2010-10-08
6322,435,144,98, 2007-05-20
32786,214,1,-1, 2018-08-02
32065,6,-1,-1, 2019-02-20
20985,18,41,2, 2017-04-14
25572,2019,520,498, 2006-10-13
15264,831,153,85, 2010-10-01
24655,522,509,13, 2016-04-30
23476,476,51,1939, 2005-08-12
23986,620,555,458, 2006-02-18
3142,1031,608,589, 2011-05-19
2567,742,108,262, 2008-02-19
26993,282,283,57, 2005-09-09
3126,899,455,52, 2006-03-26
6811,1114,443,786, 2009-07-10
2795,278,42,13, 2012-08-25
10543,43,3,34, 2009-07-28
1287,3526,2766,859, 2005-09-08
18433,222,615,58, 2010-11-16
7895,424,394,17, 2016-10-26
1696,1207,250,2618, 2007-06-24
21376,937,200,30, 2009-08-10
25492,1326,200,5, 2010-07-11
21916,164,1467,499, 2019-04-27
8519,2656,431,362, 2008-09-28
138,400,201,198, 2020-02-09
14661,1009,759,2, 2008-10-16
26736,358,341,99, 2008-07-29
6319,834,571,566, 2009-02-21
2492,166,1180,10, 2007-08-22
16655,1801,723,634, 2006-05-23
5870,489,44,1003, 2015-04-04
9920,26,66,-1, 2009-08-11
28061,330,1570,41, 2009-10-10
15480,737,317,479, 2010-05-20
14568,2419,456,3, 2010-06-14
12413,23,92,2, 2017-08-12
9821,2664,825,699, 2007-06-04
12886,33,39,-1, 2007-10-20
10214,245,210,30, 2006-08-03
20223,7434,855,14178, 2007-01-10
24125,415,326,19, 2009-08-14
29920,1531,1352,420, 2005-09-01
16255,2122,371,515, 2009-03-09
17495,113,4,2, 2018-06-09
3286,1465,668,284, 2016-06-01
18573,901,294,856, 2008-08-30
3733,555,422,15, 2008-08-03
14282,459,94,50, 2010-11-03
26042,1191,684,571, 2009-04-20
17913,374,510,99, 2006-12-27
17728,1154,264,63, 2007-09-15
123,198,112,32, 2009-05-29
4443,455,757,172, 2014-07-06
1619,281,233,69, 2006-04-13
20531,461,266,90, 2010-04-05
22620,12,582,-1, 2008-06-20
19214,490,513,187, 2012-08-28
2411,1431,452,390, 2007-09-21
15289,70,115,9, 2011-03-26
9500,1,2531,-1, 2008-10-01
26795,233,72,18, 2017-07-29
11054,837,826,4, 2010-04-06
26867,162,14,1094, 2007-10-07
9026,521,359,576, 2009-08-09
25886,45,118,910, 2012-01-24
18704,573,274,74, 2011-06-28
13974,2553,917,553, 2010-12-12
17309,1592,1360,4456, 2006-07-30
7610,2128,728,-1, 2007-09-29
27445,195,1,2, 2011-01-27
26983,212,91,62, 2006-12-31
5112,141,6,1, 2010-04-11
11510,1394,371,301, 2009-08-30
22189,178,71,1, 2006-11-04
10684,408,33,1, 2016-06-19
21820,774,244,83, 2011-12-17
426,1271,321,1877, 2007-02-28
14644,1325,654,1209, 2006-08-21
16357,1025,71,139, 2012-07-29
14737,2603,1491,3169, 2007-08-11
15620,524,184,229, 2008-08-30
7041,-1,35,-1, 2012-04-15
3172,3136,19,10, 2011-09-19
6188,341,521,5, 2016-05-01
4816,4471,822,1587, 2006-08-09
4009,31,683,14, 2008-07-01
28393,1,2,11, 2010-05-17
7057,1098,2159,1700, 2008-10-27
6486,308,91,-1, 2016-02-02
27854,1339,73,37, 2006-08-23
25108,890,312,1544, 2009-07-17
31448,43,1,1, 2018-01-10
26945,21,5,2, 2009-12-26
15966,930,398,105, 2006-02-26
21701,102,81,1, 2015-08-18
4608,513,85,13, 2011-03-02
10000,65,21,1, 2020-09-07
21967,562,4189,12, 2006-09-05
22655,150,7,1, 2009-05-16
3394,206,804,330, 2015-12-28
11991,369,15,12, 2013-06-13
7033,2873,2428,721, 2012-03-08
25848,1063,411,23, 2009-03-19
13735,2102,445,1099, 2007-01-10
21442,338,25,2, 2009-03-11
20498,459,238,49, 2008-06-01
22497,316,77,140, 2015-11-08
7759,2078,626,131, 2013-06-26
14333,271,181,11, 2015-08-05
16076,928,1019,95, 2009-03-27
15512,1356,1001,1774, 2011-07-26
7910,55,628,3, 2016-06-22
2222,58,64,7, 2013-12-20
31743,4,-1,-1, 2009-06-12
9398,257,54,3, 2017-08-01
4239,521,603,39, 2006-02-28
15475,3052,600,609, 2008-10-13
7102,605,503,3, 2009-07-21
28656,1176,646,114, 2006-04-29
19302,227,122,-1, 2009-09-10
15200,1024,626,24, 2007-10-06
21499,204,12,55, 2018-06-11
21872,490,726,10, 2006-03-31
14426,1521,426,241, 2008-03-09
18435,462,358,170, 2012-11-03
10006,1820,840,148, 2005-12-15
3943,67,162,-1, 2010-05-01
437,6,86,2, 2008-07-15
13085,1414,374,29, 2010-05-24
20640,75,67,11, 2015-01-17
17764,323,47,73, 2018-11-30
32873,15,3,1, 2007-08-31
28277,212,19,26, 2018-01-23
27441,366,304,194, 2009-02-08
16881,57,21,41, 2016-08-20
13960,1266,597,905, 2012-12-06
5916,369,644,407, 2012-05-24
31465,6,514,1, 2011-03-26
31912,2,1,-1, 2020-06-01
5428,1573,214,1233, 2006-02-01
2286,14,33,33, 2020-04-22
31684,4,-1,-1, 2016-08-09
28436,730,72,260, 2011-05-02
32486,3,10,1, 2017-11-16
7511,477,173,1114, 2011-06-15
2815,532,34,65, 2009-12-31
21264,4,1,3, 2020-10-02
12820,590,142,198, 2012-02-07
13564,178,667,67, 2010-07-18
4643,494,118,63, 2009-03-18
6443,3182,1756,2973, 2009-08-20
20106,249,57,1, 2009-10-18
2943,2631,826,4910, 2008-10-21
18740,127,971,13, 2011-12-15
3823,32,70,7, 2020-08-01
16948,37,275,13, 2015-06-17
20262,570,361,13, 2007-06-05
25341,3,11,17, 2020-09-07
12064,1946,445,282, 2010-05-16
27398,283,225,4, 2015-07-27
6089,58,3,3, 2019-08-06
10969,6,12,1, 2015-08-16
27699,30,6,3, 2013-10-28
9272,586,163,100, 2009-10-02
1751,33,19,40, 2007-07-24
1228,9,37,3, 2019-01-20
7421,641,519,36, 2010-12-18
7927,954,1045,303, 2006-02-10
4477,209,28,-1, 2019-08-15
13999,5227,43,75, 2009-01-25
19121,211,31,5, 2017-01-14
27049,2466,855,55, 2012-02-01
17183,951,256,226, 2009-05-26
3414,1111,749,32, 2008-07-08
1063,458,1051,91, 2007-07-24
10866,1886,252,451, 2005-10-01
10321,71,102,6, 2006-08-28
3593,46,263,4, 2018-10-14
27059,501,451,5, 2007-08-26
19117,8,167,1, 2010-11-11
10249,41,4,-1, 2007-06-20
20350,2578,946,-1, 2011-03-26
5426,615,441,431, 2017-02-18
25068,994,326,105, 2008-04-28
33539,36,29,1, 2020-07-05
24560,80,43,4, 2012-09-30
31999,26,2,-1, 2014-04-22
21101,1436,242,4328, 2006-11-26
3528,149,105,6, 2007-03-18
9115,713,749,273, 2010-02-28
18926,752,685,73, 2009-09-11
2035,850,710,-1, 2012-07-08
5759,126,630,604, 2005-05-15
8034,376,499,255, 2012-03-19
12392,236,34,10, 2008-03-01
20570,508,204,101, 2017-01-17
23690,1173,66,112, 2017-05-27
27001,68,101,68, 2009-06-04
32136,314,-1,2, 2015-09-22
21512,106,46,2, 2012-01-28
4565,1297,195,207, 2008-10-31
10217,343,268,4, 2011-12-24
21521,51,147,143, 2018-09-15
32130,10,-1,-1, 2012-07-17
845,1337,644,79, 2006-02-16
6742,23,49,1, 2011-07-08
18136,92,866,-1, 2006-10-25
17200,1189,214,999, 2012-12-03
10652,7891,176,26, 2011-01-29
9114,1343,128,2220, 2011-03-12
4551,1404,88,50, 2006-03-23
1979,10,2,-1, 2017-08-04
21964,863,114,834, 2017-12-06
14748,235,175,670, 2007-04-15
3685,80,202,15, 2017-07-24
10018,333,112,103, 2007-08-20
9310,2819,649,1679, 2007-12-07
19044,428,9,1, 2012-03-29
325,339,379,259, 2010-07-01
20225,177,1010,132, 2010-03-12
19642,2,18,-1, 2017-01-20
11320,607,1129,1936, 2007-01-05
24878,55,90,1, 2008-01-29
31532,2,42,-1, 2011-08-05
3075,1120,740,2, 2014-04-21
20146,2432,321,406, 2009-08-17
10,285,707,8, 2007-08-08
10040,436,152,988, 2016-10-27
7665,571,610,107, 2010-09-30
11500,761,2326,200, 2005-07-11
21602,586,303,47, 2007-12-31
5576,8,24,-1, 2009-09-18
14891,228,27,12, 2016-09-16
31693,40,14,1, 2015-02-02
6774,815,326,154, 2006-06-23
25797,77,64,3, 2006-12-13
17290,2135,401,5288, 2008-02-07
8279,327,318,2, 2008-09-03
5756,727,159,8, 2010-03-08
9779,15,26,-1, 2008-11-07
5477,1,2,-1, 2020-09-12
28040,23,1,7, 2009-09-15
32393,5,1,-1, 2014-05-15
2656,910,507,175, 2005-11-10
21666,2326,363,278, 2012-11-02
1154,-1,71,-1, 2018-08-20
18252,584,259,12, 2011-06-18
5128,152,18,-1, 2008-05-31
27314,435,119,222, 2018-08-06
27729,224,298,97, 2005-04-22
25823,339,821,485, 2014-01-12
20425,900,346,33, 2006-09-22
6265,243,90,116, 2012-04-04
2431,2420,2468,2726, 2006-01-13
12834,384,275,128, 2018-12-02
27175,2070,449,388, 2008-06-04
5854,16,7,1, 2011-06-25
28581,524,1505,1005, 2007-01-21
9974,676,34,2, 2010-07-16
27650,83,108,4, 2007-05-12
5341,506,528,179, 2009-12-05
12881,4,102,-1, 2016-04-23
31735,11,1,-1, 2016-07-22
31553,213,3332,1, 2011-08-07
8391,1567,255,147, 2007-02-12
27448,363,51,8, 2010-12-17
23161,281,100,71, 2007-09-22
2655,520,85,1, 2010-06-27
5104,233,179,12, 2014-07-16
563,282,8,5, 2015-04-02
16218,431,476,107, 2013-05-15
25233,998,683,280, 2006-08-26
31481,36,3,-1, 2020-02-04
2418,20,2,3, 2020-09-07
11000,276,45,2, 2010-11-06
28723,96,343,96, 2017-04-08
4835,251,45,133, 2019-04-12
19026,18,107,9, 2010-12-25
7962,89,19,4, 2009-04-24
11630,654,1134,63, 2011-09-24
3572,1166,1344,841, 2010-11-04
10725,102,518,-1, 2018-02-26
23825,1399,550,632, 2017-11-03
19950,77,77,-1, 2008-06-02
12800,50,4,1, 2012-02-21
6164,34,115,-1, 2018-08-12
6052,1456,47,1, 2015-05-19
28121,85,44,13, 2016-02-10
6566,550,1089,212, 2010-02-11
28291,370,170,73, 2018-10-13
793,1276,647,1164, 2016-01-07
18539,2133,2786,715, 2007-10-23
22551,748,182,247, 2010-04-24
8315,2132,207,113, 2007-07-31
9954,1360,1934,652, 2009-04-19
28877,1066,710,412, 2008-07-31
6544,73,2,-1, 2019-03-05
27212,246,286,27, 2008-02-05
2014,483,223,-1, 2007-07-12
5249,313,507,34, 2011-08-07
32263,10,-1,-1, 2012-08-04
725,452,144,126, 2008-06-28
16779,1560,1703,136, 2009-11-23
11198,1124,44,413, 2008-12-18
4652,57,127,4, 2012-11-12
8125,1996,136,8, 2009-01-13
16083,1281,1681,129, 2005-10-09
5539,2204,865,93, 2009-10-02
12161,351,13,1, 2018-02-07
7036,439,493,-1, 2016-08-08
7299,488,753,18, 2008-02-19
16564,731,268,129, 2007-06-07
17259,51,42,-1, 2019-12-05
3941,1286,595,27, 2008-03-06
8427,342,421,8, 2009-01-28
1113,52,18,1, 2017-08-07
13480,1251,2782,181, 2012-07-04
21796,279,195,18, 2008-08-04
24172,42,25,2, 2010-10-05
